Indicateur,Couverture,Moyenne,Ecart-type
Student Assessment (SABER),37,2.2900900900900902,0.40436391634703284
Workforce Development (SABER),27,2.1450617283950617,0.7401751758299157
School Autonomy and Accountability (SABER),16,2.398706896551724,0.5360281473790207
Education Management Information Systems (SABER),10,2.2304347826086954,0.6986800048751577
